date,equity,net_return,gross_return,turnover,cost,exposure,benchmark_net_return,benchmark_equity
2016-11-04,230238.02960173422,0.0058708879491691235,0.0058708879491691235,0.0,0.0,1.0,-0.0011017680790998963,187162.46434617668
2016-11-07,229547.2021433353,-0.003000492401684836,-0.003000492401684836,0.0,0.0,1.0,0.022057102333109757,191290.72597517728
2016-11-08,229317.9626485543,-0.000998659502884617,-0.000998659502884617,0.0,0.0,1.0,0.004503940644947413,192152.28805089838
2016-11-09,224867.50225036504,-0.01940737806488313,-0.01940737806488313,0.0,0.0,1.0,0.010602062141959134,194189.49854953366
2016-11-10,221388.70994944312,-0.015470409312630218,-0.015470409312630218,0.0,0.0,1.0,0.0024959828037312004,194674.19219857847
2016-11-11,219785.0188520659,-0.007243779945885394,-0.007243779945885394,0.0,0.0,1.0,-0.0023056362828157706,194225.34431771756
2016-11-14,220462.3985522882,0.003082010337921436,0.003082010337921436,0.0,0.0,1.0,0.0007857493513099278,194377.95675602317
2016-11-15,220852.7509025505,0.001770607381692324,0.001770607381692324,0.0,0.0,1.0,0.007802937601679938,195894.67582373245
2016-11-16,221084.63799972946,0.0010499624579332436,0.0010499624579332436,0.0,0.0,1.0,-0.0018784327020557878,195526.70085850655
2016-11-17,218870.6918934639,-0.010014020541166105,-0.010014020541166105,0.0,0.0,1.0,0.005140582303186703,196531.82195674026
2016-11-18,218232.7275121767,-0.0029148004046046783,-0.0029148004046046783,0.0,0.0,1.0,-0.0022375332116032487,196092.07547797516
2016-11-21,218463.73717557633,0.0010585472950510226,0.0010585472950510226,0.0,0.0,1.0,0.007551520471924311,197572.8688003292
2016-11-22,219691.7138729974,0.005620963521438631,0.005620963521438631,0.0,0.0,1.0,0.001953313958604763,197958.79064279847
2016-11-23,217645.10650089988,-0.009315815039253975,-0.009315815039253975,0.0,0.0,1.0,0.0005439579778725445,198066.4719062586
2016-11-25,217761.96532866417,0.0005369237546527885,0.0005369237546527885,0.0,0.0,1.0,0.0037151868802638432,198802.3258641049
2016-11-28,219398.65868024458,0.007515974376472112,0.007515974376472112,0.0,0.0,1.0,-0.0046947820414248165,197868.9922748446
2016-11-29,220063.64118992403,0.003030932429940606,0.003030932429940606,0.0,0.0,1.0,0.0019506332161229878,198254.9621036167
2016-11-30,217052.03070447815,-0.013685179746920332,-0.013685179746920332,0.0,0.0,1.0,-0.0023994567900915698,197779.25788862785
2016-12-01,215223.83297148524,-0.008422854773849296,-0.008089521440515963,0.6666666666666666,0.0003333333333333333,1.0,-0.0036756154520777296,197052.29739223194
2016-12-02,216217.2109721601,0.004615557612555277,0.004615557612555277,0.0,0.0,1.0,0.0005014901840074693,197151.11718511026
2016-12-05,216348.37790206837,0.000606644259809386,0.000606644259809386,0.0,0.0,1.0,0.006008618581599512,198335.72305121183
2016-12-06,216609.91238818696,0.0012088580864562846,0.0012088580864562846,0.0,0.0,1.0,0.003167299769079701,198963.91174103218
2016-12-07,218702.86446586534,0.009662309792765056,0.009662309792765056,0.0,0.0,1.0,0.013080689333708762,201566.49685913607
2016-12-08,217995.80539490996,-0.003232966667730726,-0.003232966667730726,0.0,0.0,1.0,0.0024487557118191283,202060.08396963123
2016-12-09,215950.21185005913,-0.0093836371812069,-0.0093836371812069,0.0,0.0,1.0,0.006040359837750087,203280.59958565384
2016-12-12,215881.14896929276,-0.00031980927536364345,-0.00031980927536364345,0.0,0.0,1.0,-0.0011476422698719624,203047.3061769244
2016-12-13,216698.81800952906,0.003787588884625714,0.003787588884625714,0.0,0.0,1.0,0.00667382013299278,204402.40737683792
2016-12-14,212684.94486632224,-0.01852281973697837,-0.01852281973697837,0.0,0.0,1.0,-0.008254219861227985,202715.22496618523
2016-12-15,212193.05640341277,-0.002312756378777369,-0.002312756378777369,0.0,0.0,1.0,0.004117390568121104,203549.88272147553
2016-12-16,212177.74276052773,-7.216844483326501e-05,-7.216844483326501e-05,0.0,0.0,1.0,-0.0019560726066616407,203151.72437179484
2016-12-19,212809.05403285148,0.0029753887665600054,0.0029753887665600054,0.0,0.0,1.0,0.00217737624666281,203594.0621109106
2016-12-20,212176.802630126,-0.0029709798091009185,-0.0029709798091009185,0.0,0.0,1.0,0.003857714734165185,204379.46992410437
2016-12-21,212234.30134356994,0.00027099434401485966,0.00027099434401485966,0.0,0.0,1.0,-0.002782499017989881,203810.78424974327
2016-12-22,211096.2888539794,-0.005362057322432149,-0.005362057322432149,0.0,0.0,1.0,-0.0017273841000611245,203458.7247416093
2016-12-23,211874.94251721265,0.003688618437872604,0.003688618437872604,0.0,0.0,1.0,0.0014641739649994268,203756.62370932798
2016-12-27,212368.871326304,0.0023312280500145848,0.0023312280500145848,0.0,0.0,1.0,0.0024807621413762693,204262.0954274807
2016-12-28,213616.42430195145,0.005874462522949356,0.005874462522949356,0.0,0.0,1.0,-0.008264196820288117,202574.03326794354
2016-12-29,215974.08909391277,0.011036907857930803,0.011036907857930803,0.0,0.0,1.0,-0.0002229067082127889,202528.8781570184
2016-12-30,215128.7661407804,-0.00391400170584714,-0.00391400170584714,0.0,0.0,1.0,-0.0036550476603872672,201788.6254547497
2017-01-03,215341.75090026032,0.0009900338448487482,0.0016567005115154148,1.3333333333333333,0.0006666666666666666,1.0,0.00765002173139484,203332.31282462686
2017-01-04,217636.18695895796,0.0106548593066856,0.0106548593066856,0.0,0.0,1.0,0.005949072746577411,204541.95154535037
2017-01-05,217959.56867630233,0.0014858821130027118,0.0014858821130027118,0.0,0.0,1.0,-0.000794368196932016,204379.46992410434
2017-01-06,217299.15224679632,-0.0030299951202730577,-0.0030299951202730577,0.0,0.0,1.0,0.0035777335276456768,205110.68520601428
2017-01-09,215665.4619096205,-0.007518162497570868,-0.007518162497570868,0.0,0.0,1.0,-0.0033007678266300244,204433.66245538823
2017-01-10,216451.04115877865,0.0036425825544905326,0.0036425825544905326,0.0,0.0,1.0,0.0,204433.66245538823
2017-01-11,218227.5033428557,0.008207224019652312,0.008207224019652312,0.0,0.0,1.0,0.0028260467636056497,205011.40154554235
2017-01-12,219052.02463087204,0.0037782647713334354,0.0037782647713334354,0.0,0.0,1.0,-0.0025098171394419833,204496.86041616232
2017-01-13,219383.69571540313,0.00151412015063553,0.00151412015063553,0.0,0.0,1.0,0.0022953213927081606,204966.24643461718
2017-01-17,218304.9743684758,-0.004917053400024203,-0.004917053400024203,0.0,0.0,1.0,-0.0035233989698960633,204244.06857306598
2017-01-18,217504.644115228,-0.0036661109329415944,-0.0036661109329415944,0.0,0.0,1.0,0.002210057594633552,204695.45972797472
2017-01-19,216464.16090920146,-0.004783728688916336,-0.004783728688916336,0.0,0.0,1.0,-0.0037048185380489373,203937.1001941201
2017-01-20,217803.1612371717,0.006185783006046478,0.006185783006046478,0.0,0.0,1.0,0.003674280514838424,204686.422307616
2017-01-23,218577.21561922366,0.003553917113301367,0.003553917113301367,0.0,0.0,1.0,-0.002602028843236126,204153.82233295278
2017-01-24,220329.8692369901,0.008018464380201928,0.008018464380201928,0.0,0.0,1.0,0.006411373398762743,205462.72871871403
2017-01-25,221369.52524212937,0.00471863396796642,0.00471863396796642,0.0,0.0,1.0,0.008655761432815545,207241.16508183852
2017-01-26,221086.44995595558,-0.0012787455087332291,-0.0012787455087332291,0.0,0.0,1.0,-0.0010455941409063252,207024.47493387436
2017-01-27,220288.73873922718,-0.0036081415974942295,-0.0036081415974942295,0.0,0.0,1.0,-0.0015697624062571691,206699.49569594802
2017-01-30,218452.7676975199,-0.008334384463840494,-0.008334384463840494,0.0,0.0,1.0,-0.006201631491844495,205417.62159409167
2017-01-31,219517.72953010057,0.004875021011659708,0.004875021011659708,0.0,0.0,1.0,-8.77570983189857e-05,205399.594739677
2017-02-01,220303.4493098044,0.0035792998651441588,0.0035792998651441588,0.0,0.0,1.0,0.0003956035364152122,205480.85154573424
2017-02-02,220433.18780491213,0.0005889081424469422,0.0005889081424469422,0.0,0.0,1.0,0.0006586373780488319,205616.1889150356
2017-02-03,221960.27110865005,0.006927646961624585,0.006927646961624585,0.0,0.0,1.0,0.006892975943391777,207033.49635879885
2017-02-06,220762.05314072545,-0.0053983443160332545,-0.0053983443160332545,0.0,0.0,1.0,-0.0017874903028882727,206663.4259916844
2017-02-07,219739.95395854805,-0.0046298680757686315,-0.0046298680757686315,0.0,0.0,1.0,4.349794363855963e-05,206672.41542574036
2017-02-08,220338.81326275147,0.002725309136618725,0.002725309136618725,0.0,0.0,1.0,0.0013103766022819485,206943.23412325134
2017-02-09,222075.5533826728,0.007882134310355449,0.007882134310355449,0.0,0.0,1.0,0.005932533002144691,208170.93168925805
2017-02-10,224114.5152144306,0.009181388048797718,0.009181388048797718,0.0,0.0,1.0,0.003946245069978982,208992.42520214972
2017-02-13,223706.23136807105,-0.001821764404545105,-0.001821764404545105,0.0,0.0,1.0,0.005442624632101323,210129.89252347752
2017-02-14,224126.02508272848,0.0018765401039128418,0.0018765401039128418,0.0,0.0,1.0,0.00399547319768101,210969.46087708668
2017-02-15,225270.37228322765,0.0051058202637413634,0.0051058202637413634,0.0,0.0,1.0,0.0052204220752265496,212070.81050784807
2017-02-16,224316.88354220506,-0.004232641564705153,-0.004232641564705153,0.0,0.0,1.0,-0.0008514724726393919,211890.23805045028
2017-02-17,223816.30404638534,-0.002231572977989963,-0.002231572977989963,0.0,0.0,1.0,0.0015763664308383607,212224.25470873536
2017-02-21,225122.54184621677,0.005836204852890048,0.005836204852890048,0.0,0.0,1.0,0.005955244131620185,213488.10195617704
2017-02-22,224641.797250305,-0.002135479601328242,-0.002135479601328242,0.0,0.0,1.0,-0.0008881519673420435,213298.49207842053
2017-02-23,224454.50875817833,-0.0008337205917116062,-0.0008337205917116062,0.0,0.0,1.0,0.0006771673347976126,213442.9308498176
2017-02-24,223374.07511495307,-0.0048135974153643195,-0.0048135974153643195,0.0,0.0,1.0,0.0012688108078009463,213713.7495473286
2017-02-27,223677.17086048896,0.0013568975960164633,0.0013568975960164633,0.0,0.0,1.0,0.0015628412470336528,214047.75021017937
2017-02-28,222093.31624371273,-0.00708098466501117,-0.00708098466501117,0.0,0.0,1.0,-0.002699113116521046,213470.01112002527
2017-03-01,225331.01760263284,0.014578112541519306,0.014911445874852639,0.6666666666666666,0.0003333333333333333,1.0,0.013997708922225405,216458.10219930758
2017-03-02,222768.44645452782,-0.011372474040054665,-0.011372474040054665,0.0,0.0,1.0,-0.006297361469169038,215094.98728682823
2017-03-03,223419.36641463006,0.0029219576221943817,0.0029219576221943817,0.0,0.0,1.0,0.0006294212492434781,215230.3726424323
2017-03-06,222783.27913975957,-0.002847055226582203,-0.002847055226582203,0.0,0.0,1.0,-0.002977911728067273,214589.43559150412
2017-03-07,222250.64853950363,-0.0023908015103852875,-0.0023908015103852875,0.0,0.0,1.0,-0.002987029792329343,213948.45055427315
2017-03-08,221196.57848551063,-0.004742708563145588,-0.004742708563145588,0.0,0.0,1.0,-0.0018562164898084932,213551.31591238535
2017-03-09,220376.17981394354,-0.003708912123253453,-0.003708912123253453,0.0,0.0,1.0,0.001268166840152407,213822.13460989634
2017-03-10,221831.4002265879,0.006603347121603301,0.006603347121603301,0.0,0.0,1.0,0.0035039690453808614,214571.3607507867
2017-03-13,223160.27483517336,0.005990471174180573,0.005990471174180573,0.0,0.0,1.0,0.000504825436403511,214679.6818316174
2017-03-14,222199.9632561636,-0.004303237122821324,-0.004303237122821324,0.0,0.0,1.0,-0.003826601129099938,213858.18831872573
2017-03-15,225736.64002548775,0.015916639757707147,0.015916639757707147,0.0,0.0,1.0,0.008653658592042923,215708.8440675488
2017-03-16,226242.93688929896,0.0022428652422310145,0.0022428652422310145,0.0,0.0,1.0,-0.001967053722508494,215284.53318284772
2017-03-17,226383.9277455702,0.0006231834602653161,0.0006231834602653161,0.0,0.0,1.0,-0.0017562064217552242,214906.44910316746
2017-03-20,227004.7015314828,0.0027421283484853802,0.0027421283484853802,0.0,0.0,1.0,-0.0010967968634110203,214670.74038386432
2017-03-21,222888.0338930591,-0.018134724129723685,-0.018134724129723685,0.0,0.0,1.0,-0.01283959444594418,211914.45513792493
2017-03-22,223765.6021541585,0.003937260541857723,0.003937260541857723,0.0,0.0,1.0,0.002353032818822154,212413.09680564728
2017-03-23,224030.22722004383,0.0011825993956973886,0.0011825993956973886,0.0,0.0,1.0,-0.0010668989626801961,212186.47349300564
