lookback_months,holdings,rebalance,cost_bps,sharpe,cagr,ann_volatility,max_drawdown,calmar,sortino,ann_turnover,avg_exposure,n_periods
6,4,monthly,5,0.4852126735407886,0.06772708656151272,0.1622436459059573,-0.39290190814268977,0.1723765783721171,0.6767647301884095,5.071639586410636,1.0,2708
6,4,monthly,10,0.4696170328469559,0.06502545847750096,0.16223187847332166,-0.3941235686000477,0.16498749036622087,0.6545512063901214,5.071639586410636,1.0,2708
6,4,monthly,20,0.4383728461787609,0.05963968206954018,0.16222540797250715,-0.3965611292713198,0.15039215310670503,0.6101483618087543,5.071639586410636,1.0,2708
6,4,quarterly,0,0.4636476672089043,0.0609699535799042,0.15288283051926788,-0.38569415492625825,0.15807850028622078,0.6509749220073863,3.117429837518464,1.0,2708
6,4,quarterly,5,0.4535162865733616,0.059321269089205764,0.15286121989486576,-0.38661720318413584,0.15343670328335743,0.6364036271523401,3.117429837518464,1.0,2708
6,4,quarterly,10,0.4433668834301448,0.05767429538542235,0.15284483442866648,-0.38753940543524723,0.14882175741754078,0.6218319896267097,3.117429837518464,1.0,2708
6,4,quarterly,20,0.4230181370854878,0.05438547618539724,0.15282774515753444,-0.38938127329992267,0.1396715248386036,0.5926903003327854,3.117429837518464,1.0,2708
9,1,weekly,0,0.14535554917101992,0.00879782356506098,0.08540294046277261,-0.2735192927159116,0.0321652760860228,0.1967660774316417,6.774593796159529,0.3999999999999999,2708
9,1,weekly,5,0.10568799771397057,0.005386221529572355,0.08540699614856342,-0.2740940188837675,0.019650999870436572,0.14287620335400456,6.774593796159529,0.3999999999999999,2708
9,1,weekly,10,0.0660123617095254,0.001984798605251026,0.08542638635534497,-0.2746685176707401,0.007226159816504018,0.08911908898389247,6.774593796159529,0.3999999999999999,2708
9,1,weekly,20,-0.013277761720456884,-0.004787615111888854,0.08551112035573998,-0.275816833102034,-0.01735795113751362,-0.017875110305786684,6.774593796159529,0.3999999999999999,2708
9,1,monthly,0,0.2024991969568118,0.01356868434947378,0.08398926820582782,-0.2265606951853606,0.05988984249175509,0.27788700352619805,4.09453471196455,0.3999999999999999,2708
9,1,monthly,5,0.1780653445209679,0.01149348034020825,0.08401686498254286,-0.22711606711071353,0.050606196586723474,0.24409692817542086,4.09453471196455,0.3999999999999999,2708
9,1,monthly,10,0.15363009992581164,0.009421696349076969,0.08405400152015587,-0.22804155169575724,0.04131570005122124,0.21037509308656166,4.09453471196455,0.3999999999999999,2708
9,1,monthly,20,0.10478874834663969,0.005288371347432763,0.08415684011769294,-0.22989030386197207,0.023003890371156945,0.14317954079938608,4.09453471196455,0.3999999999999999,2708
9,1,quarterly,0,-0.0025610223069513394,-0.0035139735994291765,0.08135646123417041,-0.33607715528922133,-0.010455853794659504,-0.0034662038757682554,2.0844903988183163,0.3999999999999999,2708
9,1,quarterly,5,-0.015368472087146172,-0.004553516536244362,0.08137444661727093,-0.3363454217325994,-0.013538214710306027,-0.02078692747964211,2.0844903988183163,0.3999999999999999,2708
9,1,quarterly,10,-0.028168508162099846,-0.005592390962757765,0.08139749885436315,-0.3366136881759769,-0.01661367662456478,-0.03807489011108153,2.0844903988183163,0.3999999999999999,2708
9,1,quarterly,20,-0.05373682494761729,-0.007668134933762949,0.08145878573843898,-0.33715022106273274,-0.02274397124697764,-0.07253752499418811,2.0844903988183163,0.3999999999999999,2708
9,2,weekly,0,0.3627942434706925,0.04178432149270539,0.13987636024944586,-0.4019731039867035,0.10394805293761031,0.49753794723045525,11.911373707533237,0.7999999999999998,2708
9,2,weekly,5,0.3202701165985025,0.03560244072468288,0.13985273405484677,-0.402937541921489,0.08835721922287373,0.4385231373296285,11.911373707533237,0.7999999999999998,2708
